video_id,ccc_valence,ccc_arousal,mse_valence,mse_arousal,pearson_valence,pearson_arousal
001,0.512,0.478,0.0251,0.0287,0.589,0.542
002,0.489,0.445,0.0272,0.0301,0.554,0.513
003,0.401,0.382,0.0309,0.0355,0.478,0.451
004,0.467,0.421,0.0268,0.0314,0.531,0.496
005,0.523,0.489,0.0239,0.0276,0.601,0.559
006,0.391,0.367,0.0321,0.0368,0.462,0.437
007,0.445,0.411,0.0288,0.0326,0.517,0.484
008,0.478,0.434,0.0259,0.0297,0.542,0.505
009,0.512,0.467,0.0247,0.0283,0.578,0.531
010,0.434,0.398,0.0295,0.0339,0.501,0.472
